,name,id,type,lat,lon,nodes,geometry,area,source
40,,1040254855,way,34.6351952,36.0104196,"[9578124276, 9578124275, 9578124274, 9578124273, 9578124272, 9578124271, 9578124276]","POLYGON ((36.0101151 34.6361872, 36.0113221 34.6357723, 36.0111397 34.6352957, 36.0109091 34.6353663, 36.0104746 34.6342032, 36.009517 34.6344791, 36.0101151 34.6361872))",0.029105863501332457,OSM
41,,1040254856,way,34.6379251,36.0086694,"[9578124280, 9578124279, 9578124278, 9578124277, 9578124280]","POLYGON ((36.0079372 34.6370832, 36.0087955 34.6389369, 36.0094017 34.6387427, 36.0083583 34.6369133, 36.0079372 34.6370832))",0.016854069422448704,OSM
42,,1040495575,way,33.7820645,35.8560752,"[9580358487, 9580358486, 9580358485, 9580358484, 9580358483, 9580358482, 9580358481, 9580358480, 9580358479, 9580358478, 9580358477, 9580358476, 9580358475, 9580358474, 9580358487]","POLYGON ((35.855577 33.7828347, 35.8554724 33.7826876, 35.8554509 33.7824802, 35.8553329 33.7823978, 35.855636 33.7818204, 35.8557969 33.781593, 35.8559176 33.7814726, 35.8562019 33.7812942, 35.8565158 33.7817345, 35.8568175 33.7823487, 35.8567853 33.7824557, 35.8566955 33.7824312, 35.8562019 33.7826118, 35.8558559 33.7827656, 35.855577 33.7828347))",0.019401812346195094,OSM
43,,1040504859,way,33.7850852,35.8209873,"[9580475882, 9580448972, 9580448989, 9580448988, 9580448987, 9580448986, 9580448985, 9580448984, 9580448983, 9580448982, 9580475881, 9580475880, 9580475882]","POLYGON ((35.8216873 33.7852312, 35.8217946 33.7854653, 35.8205795 33.7859958, 35.8204159 33.7858086, 35.8202791 33.7857841, 35.820196 33.7853872, 35.8201799 33.7851532, 35.8202469 33.7848478, 35.8207083 33.7845312, 35.821344 33.7841745, 35.8214352 33.7842437, 35.8215203 33.7847959, 35.8216873 33.7852312))",0.027214097681895203,OSM
44,,1040510912,way,33.7840062,35.8218885,"[9580448981, 9580448980, 9580448979, 9580448978, 9580448977, 9580448976, 9580448975, 9580448974, 9580448973, 9629717861, 9580475879, 9580475878, 9580475877, 9580475876, 9580448981]","POLYGON ((35.821403 33.7840185, 35.8213118 33.7838089, 35.8212635 33.7833742, 35.8213279 33.7832471, 35.8219971 33.7827968, 35.8223632 33.7838268, 35.8225134 33.7845925, 35.8218321 33.7851019, 35.8217409 33.7852156, 35.8217096 33.7851403, 35.8216672 33.785074, 35.8216055 33.7849202, 35.8215438 33.7846995, 35.8215022 33.7843406, 35.821403 33.7840185))",0.026977412894404994,OSM
45,,1040512192,way,33.8143816,35.8944087,"[9580474365, 9580474364, 9580474363, 9580474362, 9580474361, 9580474360, 9580474359, 9580474358, 9580474357, 9580474356, 9580474355, 9580474354, 9580474353, 9580474352, 9580474345, 9580474350, 9580474349, 9580474348, 9580474347, 9580474365]","POLYGON ((35.8921891 33.814293, 35.8929858 33.8131988, 35.8936067 33.8135024, 35.8945267 33.813927, 35.8946233 33.8137698, 35.8950417 33.813128, 35.8952831 33.813352, 35.8954293 33.8135019, 35.8954802 33.8135465, 35.8956425 33.8136573, 35.8959791 33.813888, 35.896364 33.8141231, 35.8966282 33.8143983, 35.8963224 33.814766, 35.895998 33.8146569, 35.8957337 33.8145609, 35.8956425 33.8146891, 35.8950202 33.8156351, 35.8934102 33.8148646, 35.8921891 33.814293))",0.08268699731773009,OSM
46,,1040514522,way,33.7874392,35.9099581,"[9580554305, 9580554304, 9580554303, 9580554302, 9580554301, 9580554300, 9580554299, 9580554298, 9580554305]","POLYGON ((35.908969 33.7877926, 35.9091286 33.7879698, 35.9094746 33.7880701, 35.9098783 33.7878305, 35.9109472 33.7872096, 35.9108721 33.7871305, 35.9105878 33.7868084, 35.9089704 33.7877614, 35.908969 33.7877926))",0.014419562818620084,OSM
47,,1040515585,way,33.7825973,35.9093237,"[9580495571, 9580495570, 9580495574, 9580495573, 9580495572, 9580495571]","POLYGON ((35.909315 33.7824613, 35.9085895 33.7829373, 35.9087545 33.7830978, 35.910058 33.7822618, 35.9098917 33.7820968, 35.909315 33.7824613))",0.005306683327465447,OSM
48,,1040518032,way,33.7479978,35.9089872,"[9580569532, 9580569531, 9580569530, 9580569529, 9580569528, 9580569527, 9580569526, 9580569532]","POLYGON ((35.9083025 33.7492746, 35.9080611 33.7492323, 35.9081939 33.7488297, 35.9088993 33.746721, 35.9099132 33.7469418, 35.9092131 33.74797, 35.908556 33.7489512, 35.9083025 33.7492746))",0.025526993422415583,OSM
49,,1040518700,way,33.7595641,35.9022742,"[9580569589, 9580569588, 9580569587, 9580569586, 9580569585, 9580569584, 9580569583, 9580569582, 9580569589]","POLYGON ((35.9017485 33.7599677, 35.9023735 33.7590468, 35.9026042 33.7587948, 35.9027517 33.7591115, 35.9027705 33.7595597, 35.9028 33.7599477, 35.9025532 33.7602777, 35.9024727 33.7603334, 35.9017485 33.7599677))",0.013303798810758233,OSM
50,,1040519309,way,33.7873378,35.9530565,"[9580560263, 9580560262, 9580560265, 9580560264, 9580560263]","POLYGON ((35.9533918 33.7866334, 35.9521043 33.7876321, 35.9527481 33.7880422, 35.9540087 33.7870837, 35.9533918 33.7866334))",0.017369810949384466,OSM
51,,1040528787,way,33.7675754,35.911149,"[9580648391, 9580648390, 9580648389, 9580648388, 9580648387, 9580648386, 9580648385, 9580648384, 9580648391]","POLYGON ((35.9119141 33.7688803, 35.9126799 33.7681333, 35.9110981 33.7667481, 35.9106763 33.7664242, 35.9104818 33.7662704, 35.9096181 33.7668668, 35.9100848 33.7673061, 35.9104067 33.767567, 35.9119141 33.7688803))",0.04705071147280246,OSM
52,,1040529468,way,33.7639592,35.9093137,"[9580663099, 9580663098, 9580663097, 9580663096, 9580663095, 9580663099]","POLYGON ((35.9086391 33.7638522, 35.9091219 33.7634374, 35.9099883 33.7638343, 35.9094867 33.764481, 35.9091058 33.7642245, 35.9086391 33.7638522))",0.010707529791733223,OSM
